CropName,SeededArea,Sales,Expenses,Profit
Sugarcane,0.5,75000,50000,25000
Melon,0.3,45000,30000,15000
Rice,0.5,60000,40000,20000
Watermelon,0.5,70000,45000,25000
Sugarcane,0.4,72000,48000,24000
Melon,0.35,48000,32000,16000
Rice,0.6,65000,42000,23000
Watermelon,0.55,68000,44000,24000
Sugarcane,0.45,73000,49000,24000
Melon,0.32,46000,31000,15000
Rice,0.55,62000,41000,21000
Watermelon,0.48,69000,46000,23000
Sugarcane,0.3,45000,30000,15000
Melon,0.5,60000,40000,20000
Rice,0.7,70000,45000,25000
Watermelon,1,80000,50000,30000
Sugarcane,1.2,90000,55000,35000
Melon,1.5,105000,65000,40000
Rice,1.8,120000,75000,45000
Watermelon,2,130000,80000,50000
Sugarcane,2.3,140000,85000,55000
Melon,2.5,150000,90000,60000
Rice,2.7,160000,95000,65000
Watermelon,3,170000,100000,70000
Sugarcane,0.35,52500,35000,17500
Melon,0.45,67500,45000,22500
Rice,0.65,97500,65000,32500
Watermelon,0.75,112500,75000,37500
Sugarcane,0.38,57000,38000,19000
Melon,0.42,63000,42000,21000
Rice,0.68,102000,68000,34000
Watermelon,0.78,117000,78000,39000
Sugarcane,0.43,64500,43000,21500
Melon,0.47,70500,47000,23500
Rice,0.72,108000,72000,36000
Watermelon,0.82,123000,82000,41000
Sugarcane,0.36,54000,36000,18000
Melon,0.48,72000,48000,24000
Rice,0.62,93000,62000,31000
Watermelon,0.72,108000,72000,36000
Sugarcane,0.39,58500,39000,19500
Melon,0.43,64500,43000,21500
Rice,0.67,100500,67000,33500
Watermelon,0.77,115500,77000,38500
Sugarcane,0.37,55500,37000,18500
Melon,0.49,73500,49000,24500
Rice,0.63,94500,63000,31500
Watermelon,0.73,109500,73000,36500
Sugarcane,0.41,61500,41000,20500
Melon,0.46,69000,46000,23000
Rice,0.66,99000,66000,33000
Watermelon,0.76,114000,76000,38000
Sugarcane,0.42,63000,42000,21000
Melon,0.44,66000,44000,22000
Rice,0.64,96000,64000,32000
Watermelon,0.74,111000,74000,37000
Sugarcane,0.38,57000,38000,19000
Melon,0.47,70500,47000,23500
Rice,0.61,91500,61000,30500
Watermelon,0.71,106500,71000,35500
Sugarcane,0.39,58500,39000,19500
Melon,0.45,67500,45000,22500
Rice,0.65,97500,65000,32500
Watermelon,0.75,112500,75000,37500
Sugarcane,0.4,60000,40000,20000
Melon,0.46,69000,46000,23000
Rice,0.66,99000,66000,33000
Watermelon,0.76,114000,76000,38000
Sugarcane,0.44,66000,44000,22000
Melon,0.48,72000,48000,24000
Rice,0.68,102000,68000,34000
Watermelon,0.78,117000,78000,39000
Sugarcane,0.45,67500,45000,22500
Melon,0.49,73500,49000,24500
Rice,0.69,103500,69000,34500
Watermelon,0.79,118500,79000,39500
Sugarcane,0.41,61500,41000,20500
Melon,0.47,70500,47000,23500
Rice,0.67,100500,67000,33500
Watermelon,0.77,115500,77000,38500
Sugarcane,0.42,63000,42000,21000
Melon,0.48,72000,48000,24000
Rice,0.68,102000,68000,34000
Watermelon,0.78,117000,78000,39000
Sugarcane,0.43,64500,43000,21500
Melon,0.49,73500,49000,24500
Rice,0.69,103500,69000,34500
Watermelon,0.79,118500,79000,39500
Sugarcane,0.46,69000,46000,23000
Melon,0.52,78000,52000,26000
Rice,0.72,108000,72000,36000
Watermelon,0.82,123000,82000,41000
Sugarcane,0.48,72000,48000,24000
